N1 ,N2 ,N3 ,N4 ,N5,N6 ,N7 ,N8,N9 ,M1 ,M2,M3 
0.0001,0.0001,0.0001,0.0001,10.03499284,0.02,0.0001,0.001,0.0001,STOP,STOP,STOP
0.0001,0.0001,0.981904632,10.03489284,10.03499284,0.2,0.0001,0.0001,9.96513E-06,RAISE,RAISE,RAISE
0.0201,0.0011,1.37960987,9.053088206,10.03499284,0.019569808,0.0041,0.0031,0.097848065,RAISE,RAISE,RAISE
0.0401,0.0021,1.51398283,8.655382968,10.03499284,0.030478216,0.0081,0.0061,0.137479906,RAISE,LOWER,RAISE
0.0391,0.0031,2.486701212,8.521010008,10.03499284,0.034983613,0.0121,0.0091,0.150870345,RAISE,LOWER,RAISE
0.0381,0.0041,3.433126808,7.548291626,10.03499284,0.058366349,0.0161,0.0121,0.247802988,RAISE,LOWER,RAISE
0.0371,0.0051,3.734665181,6.60186603,10.03499284,0.090964339,0.0201,0.0151,0.342115521,RAISE,LOWER,RAISE
0.0361,0.0061,4.461147905,6.300327657,10.03499284,0.113139684,0.0241,0.0181,0.37216421,RAISE,LOWER,RAISE
0.0351,0.0071,5.050127553,5.573844933,10.03499284,0.141616378,0.0281,0.0211,0.444559152,RAISE,LOWER,RAISE
0.0341,0.0081,5.838971563,4.984865285,10.03499284,0.181208039,0.0321,0.0241,0.503251735,RAISE,LOWER,RAISE
0.0331,0.0091,5.939484333,4.196021275,10.03499284,0.234267978,0.0361,0.0271,0.581861059,RAISE,LOWER,RAISE
0.0321,0.0101,6.701279462,4.095508504,10.03499284,0.283100773,0.0401,0.0301,0.591877287,RAISE,LOWER,RAISE
0.0311,0.0111,6.965166492,3.333713375,10.03499284,0.327250179,0.0441,0.0331,0.667791155,RAISE,LOWER,RAISE
0.0301,0.0121,7.229722241,3.069826346,10.03499284,0.417862348,0.0481,0.0361,0.694087839,RAISE,LOWER,RAISE
0.0291,0.0131,7.498795177,2.805270597,10.03499284,0.47101832,0.0521,0.0391,0.720451161,RAISE,LOWER,RAISE
0.0281,0.0141,8.25304388,2.536197661,10.03499284,0.534621878,0.0561,0.0421,0.747264627,RAISE,LOWER,RAISE
0.0271,0.0151,8.707053312,1.781948957,10.03499284,0.650820242,0.0601,0.0451,0.822426484,HOLD,LOWER,RAISE
0.0261,0.0151,8.789045515,1.327939526,10.03499284,0.977250586,0.0641,0.0481,0.867669111,HOLD,LOWER,RAISE
0.0251,0.0151,9.66436604,1.245947323,10.03499284,1.323711711,0.0681,0.0511,0.87583974,HOLD,LOWER,RAISE
0.0241,0.0151,2.954987466,0.370626798,10.03499284,1.551328192,0.0721,0.0541,0.963066561,HOLD,LOWER,RAISE
0.0231,0.0151,3.538522198,7.080005372,10.03499284,1.594589212,0.0761,0.0571,0.294468318,RAISE,LOWER,RAISE
0.0221,0.0161,3.992746331,6.49647064,10.03499284,0.099958178,0.0801,0.0601,0.352618308,RAISE,LOWER,RAISE
0.0211,0.0171,4.591062891,6.042246506,10.03499284,0.122920476,0.0841,0.0631,0.39788233,RAISE,HOLD,RAISE
0.0211,0.0181,5.240507254,5.443929946,10.03499284,0.151965428,0.0881,0.0661,0.457505348,RAISE,RAISE,RAISE
0.0411,0.0191,5.603476759,4.794485584,10.03499284,0.192526623,0.0921,0.0691,0.522223318,RAISE,RAISE,RAISE
0.0611,0.0201,6.05625259,4.431516079,10.03499284,0.233746735,0.0961,0.0721,0.558393698,RAISE,LOWER,RAISE
0.0601,0.0211,6.880093741,3.978740248,10.03499284,0.273326441,0.1001,0.0751,0.603513394,RAISE,LOWER,RAISE
0.0591,0.0221,6.897517697,3.154899097,10.03499284,0.34584282,0.1041,0.0781,0.685610229,RAISE,LOWER,RAISE
0.0581,0.0231,7.742852031,3.137475141,10.03499284,0.437257579,0.1081,0.0811,0.687346549,RAISE,LOWER,RAISE
0.0571,0.0241,7.780676227,2.292140807,10.03499284,0.493572168,0.1121,0.0841,0.771585208,RAISE,LOWER,RAISE
0.0561,0.0251,8.05040473,2.254316611,10.03499284,0.678900372,0.1161,0.0871,0.775354437,RAISE,LOWER,RAISE
0.0551,0.0261,8.422887946,1.984588108,10.03499284,0.714221302,0.1201,0.0901,0.802233231,HOLD,LOWER,RAISE
0.0541,0.0261,8.961077125,1.612104892,10.03499284,0.848829831,0.1241,0.0931,0.839351665,HOLD,LOWER,RAISE
0.0531,0.0261,9.548226109,1.073915712,10.03499284,1.11172383,0.1281,0.0961,0.892982912,HOLD,LOWER,RAISE
0.0521,0.0261,10.01298988,0.486766729,10.03499284,1.77820773,0.1321,0.0991,0.951493067,HOLD,LOWER,RAISE
0.0511,0.0261,10.53623917,0.022002959,10.03499284,4.114081464,0.1361,0.1021,0.997807377,HOLD,LOWER,HOLD
0.0501,0.0261,6.319337143,-0.501246327,10.03499284,95.77111132,0.1361,0.1021,1.049949844,HOLD,LOWER,RAISE
0.0491,0.0261,7.193691984,3.715655695,10.03499284,-2.521449754,0.1401,0.1051,0.62973011,RAISE,LOWER,RAISE
0.0481,0.0271,8.08367742,2.841300854,10.03499284,0.387209826,0.1441,0.1081,0.716860699,RAISE,LOWER,RAISE
0.0471,0.0281,8.241689597,1.951315418,10.03499284,0.569012423,0.1481,0.1111,0.805548898,HOLD,LOWER,RAISE
0.0461,0.0281,9.07219136,1.793303241,10.03499284,0.844731664,0.1521,0.1141,0.821295015,HOLD,LOWER,RAISE
0.0451,0.0281,9.965671497,0.962801478,10.03499284,1.011785531,0.1561,0.1171,0.904055589,HOLD,LOWER,RAISE
0.0441,0.0281,4.63601052,0.06932134,10.03499284,2.070140465,0.1601,0.1201,0.993092039,HOLD,LOWER,HOLD
0.0431,0.0281,4.958850103,5.398982318,10.03499284,13.3754209,0.1601,0.1201,0.461984437,RAISE,LOWER,RAISE
0.0421,0.0291,5.475929296,5.076142734,10.03499284,0.183695734,0.1641,0.1231,0.494155819,RAISE,LOWER,RAISE
0.0411,0.0301,6.190181268,4.559063541,10.03499284,0.215751589,0.1681,0.1261,0.545683428,RAISE,HOLD,RAISE
0.0411,0.0311,6.432506941,3.84481157,10.03499284,0.271554946,0.1721,0.1291,0.61685956,RAISE,HOLD,RAISE
0.0411,0.0321,7.26689759,3.602485896,10.03499284,0.334607136,0.1761,0.1321,0.641007627,RAISE,HOLD,RAISE
0.0411,0.0331,7.918319092,2.768095247,10.03499284,0.403437948,0.1801,0.1351,0.724155733,RAISE,RAISE,RAISE
0.0611,0.0341,8.888198995,2.116673746,10.03499284,0.572113196,0.1841,0.1381,0.789070727,RAISE,RAISE,RAISE
0.0811,0.0351,9.173283523,1.146793843,10.03499284,0.839827018,0.1881,0.1411,0.885720512,HOLD,LOWER,RAISE
0.0801,0.0351,10.04429745,0.861709315,10.03499284,1.599813878,0.1921,0.1441,0.914129554,HOLD,LOWER,RAISE
0.0791,0.0351,3.347554727,-0.00930461,10.03499284,2.331249593,0.1961,0.1471,1.000927216,HOLD,LOWER,HOLD
0.0781,0.0351,4.134469315,6.687438111,10.03499284,-71.95475541,0.1961,0.1471,0.333588153,RAISE,LOWER,RAISE
0.0771,0.0361,5.017878529,5.900523523,10.03499284,0.123648825,0.2001,0.1501,0.412005208,RAISE,LOWER,RAISE
0.0761,0.0371,5.616957252,5.017114309,10.03499284,0.170082485,0.2041,0.1531,0.500038078,RAISE,LOWER,RAISE
0.0751,0.0381,5.831849533,4.418035585,10.03499284,0.223911871,0.2081,0.1561,0.559737046,RAISE,LOWER,RAISE
0.0741,0.0391,6.400043016,4.203143305,10.03499284,0.264001927,0.2121,0.1591,0.58115134,RAISE,LOWER,RAISE
0.0731,0.0401,6.752041288,3.634949822,10.03499284,0.304536037,0.2161,0.1621,0.637772554,RAISE,LOWER,RAISE
0.0721,0.0411,7.239913754,3.28295155,10.03499284,0.371506712,0.2201,0.1651,0.672849637,RAISE,LOWER,RAISE
0.0711,0.0421,7.576923924,2.795079083,10.03499284,0.441061261,0.2241,0.1681,0.721466759,RAISE,LOWER,RAISE
0.0701,0.0431,8.301436338,2.458068914,10.03499284,0.542161685,0.2281,0.1711,0.755050257,RAISE,LOWER,RAISE
0.0691,0.0441,8.551946709,1.7335565,10.03499284,0.675443743,0.2321,0.1741,0.827248855,HOLD,LOWER,RAISE
