N1,N2,N3,N4,N5,N6,N7,N8,N9,M1,M2,M3
0.0001,0.0001,0.0001,0.0001,10.72563241,0.02,0.0001,0.001,0.0001,STOP,STOP,STOP
0.0001,0.0001,0.373483139,10.72553241,10.72563241,0.2,0.0001,0.0001,0.00000932,RAISE,RAISE,RAISE
0.0201,0.0011,0.392030287,10.35214927,10.72563241,0.006964375,0.4001,0.3001,0.034821549,RAISE,RAISE,RAISE
0.0401,0.0021,1.327474872,10.33360213,10.72563241,0.007573892,0.8001,0.6001,0.036550785,RAISE,LOWER,RAISE
0.0391,0.0031,1.73949879,9.39815754,10.72563241,0.025692394,1.2001,0.9001,0.123766583,RAISE,LOWER,RAISE
0.0381,0.0041,2.217978307,8.986133622,10.72563241,0.037017868,1.6001,1.2001,0.162181466,RAISE,LOWER,RAISE
0.0371,0.0051,2.783966985,8.507654105,10.72563241,0.049364463,2.0001,1.5001,0.20679231,RAISE,LOWER,RAISE
0.0361,0.0061,3.674242545,7.941665428,10.72563241,0.065446172,2.4001,1.8001,0.259562036,RAISE,LOWER,RAISE
0.0351,0.0071,4.208777184,7.051389868,10.72563241,0.092530782,2.8001,2.1001,0.342566518,RAISE,LOWER,RAISE
0.0341,0.0081,4.771483748,6.516855229,10.72563241,0.1193744,3.2001,2.4001,0.392403639,RAISE,LOWER,RAISE
0.0331,0.0091,5.272465505,5.954148665,10.72563241,0.146435162,3.6001,2.7001,0.444867357,RAISE,LOWER,RAISE
0.0321,0.0101,5.413667389,5.453166907,10.72563241,0.177102246,4.0001,3.0001,0.491576189,RAISE,LOWER,RAISE
0.0311,0.0111,5.438647887,5.311965023,10.72563241,0.198551318,4.4001,3.3001,0.50474109,RAISE,LOWER,RAISE
0.0301,0.0121,6.089380594,5.286984526,10.72563241,0.204769718,4.8001,3.6001,0.507070136,RAISE,LOWER,RAISE
0.0291,0.0131,6.295173442,4.636251818,10.72563241,0.230353638,5.2001,3.9001,0.567740937,RAISE,LOWER,RAISE
0.0281,0.0141,6.928914301,4.430458971,10.72563241,0.271563051,5.6001,4.2001,0.58692795,RAISE,LOWER,RAISE
0.0271,0.0151,7.047584343,3.796718111,10.72563241,0.312785395,6.0001,4.5001,0.646014523,RAISE,LOWER,RAISE
0.0261,0.0161,7.352228045,3.67804807,10.72563241,0.37124612,6.4001,4.8001,0.657078676,RAISE,LOWER,RAISE
0.0251,0.0171,7.720351529,3.373404367,10.72563241,0.399789666,6.8001,5.1001,0.685482008,RAISE,LOWER,RAISE
0.0241,0.0181,8.530226498,3.005280883,10.72563241,0.457718713,7.2001,5.4001,0.719803852,RAISE,HOLD,RAISE
0.0241,0.0191,9.411724835,2.195405914,10.72563241,0.567682478,7.6001,5.7001,0.795312218,RAISE,HOLD,RAISE
0.0241,0.0201,10.3058736,1.313907578,10.72563241,0.857401793,8.0001,6.0001,0.877498358,RAISE,RAISE,RAISE
0.0441,0.0211,10.37768027,0.419758812,10.72563241,1.568736458,8.4001,6.3001,0.960863957,RAISE,RAISE,RAISE
0.0641,0.0221,0.016496959,0.347952143,10.72563241,4.944591973,8.8001,6.6001,0.967558823,RAISE,LOWER,RAISE
0.0631,0.0231,0.732885243,10.70913545,10.72563241,0.009482315,9.2001,6.9001,0.001538087,RAISE,LOWER,RAISE
0.0621,0.0241,1.11537559,9.99274717,10.72563241,0.013687104,9.6001,7.2001,0.068330259,RAISE,LOWER,RAISE
0.0611,0.0251,1.479903284,9.610256823,10.72563241,0.022323703,10.0001,7.5001,0.103991592,RAISE,LOWER,RAISE
0.0601,0.0261,1.713234387,9.245729128,10.72563241,0.030798413,10.4001,7.8001,0.137978184,RAISE,LOWER,RAISE
0.0591,0.0271,2.59896196,9.012398025,10.72563241,0.037060017,10.8001,8.1001,0.159732715,RAISE,LOWER,RAISE
0.0581,0.0281,2.934884174,8.126670453,10.72563241,0.057675259,11.2001,8.4001,0.242313167,RAISE,LOWER,RAISE
0.0571,0.0291,3.907888638,7.790748238,10.72563241,0.072228453,11.6001,8.7001,0.273632739,RAISE,LOWER,RAISE
0.0561,0.0301,4.543894652,6.817743775,10.72563241,0.100321266,12.0001,9.0001,0.364350417,RAISE,LOWER,RAISE
0.0551,0.0311,4.923402595,6.18173776,10.72563241,0.13329614,12.4001,9.3001,0.42364818,RAISE,LOWER,RAISE
0.0541,0.0321,5.199807489,5.802229818,10.72563241,0.159288627,12.8001,9.6001,0.45903145,RAISE,LOWER,RAISE
0.0531,0.0331,6.183249791,5.525824923,10.72563241,0.1792348,13.2001,9.9001,0.484801948,RAISE,LOWER,RAISE
0.0521,0.0341,6.515433369,4.542382622,10.72563241,0.223794633,13.6001,10.2001,0.576492793,RAISE,LOWER,RAISE
0.0511,0.0351,6.94661761,4.210199044,10.72563241,0.286872944,14.0001,10.5001,0.607463795,RAISE,LOWER,RAISE
0.0501,0.0361,7.051164257,3.779014803,10.72563241,0.329989986,14.4001,10.8001,0.647665083,RAISE,HOLD,RAISE
0.0501,0.0371,7.666366735,3.674468156,10.72563241,0.373174736,14.8001,11.1001,0.657412448,RAISE,HOLD,RAISE
0.0501,0.0381,8.009814217,3.059265677,10.72563241,0.417277626,15.2001,11.4001,0.714770602,RAISE,HOLD,RAISE
0.0501,0.0391,8.987229685,2.715818196,10.72563241,0.52364293,15.6001,11.7001,0.746791789,RAISE,HOLD,RAISE
0.0501,0.0401,9.296120526,1.738402727,10.72563241,0.661843249,16.0001,12.0001,0.837920725,RAISE,RAISE,RAISE
0.0701,0.0411,9.350420264,1.429511887,10.72563241,1.069501374,16.4001,12.3001,0.866720037,RAISE,RAISE,RAISE
0.0901,0.0421,10.14142829,1.375212149,10.72563241,1.308197623,16.8001,12.6001,0.871782652,RAISE,LOWER,RAISE
0.0891,0.0431,11.07501826,0.584204124,10.72563241,1.474889281,17.2001,12.9001,0.945531965,RAISE,LOWER,RAISE
0.0881,0.0441,7.826731213,-0.349385847,10.72563241,3.791489245,17.6001,13.2001,1.032574848,STOP,LOWER,RAISE
0.0871,0.0001,8.043557513,2.898901199,10.72563241,-4.480279483,18.0001,13.5001,0.729722119,RAISE,LOWER,RAISE
0.0861,0.0011,8.439620947,2.682074899,10.72563241,0.554938369,18.4001,13.8001,0.749937832,RAISE,LOWER,RAISE
0.0851,0.0021,8.444366455,2.286011466,10.72563241,0.629335217,18.8001,14.1001,0.786864646,RAISE,LOWER,RAISE
0.0841,0.0031,8.63712719,2.281265957,10.72563241,0.738786011,19.2001,14.4001,0.787307091,RAISE,LOWER,RAISE
0.0831,0.0041,8.640041494,2.088505223,10.72563241,0.757222293,19.6001,14.7001,0.80527906,RAISE,LOWER,RAISE
0.0821,0.0051,9.001485067,2.085590918,10.72563241,0.827389982,20.0001,15.0001,0.805550774,RAISE,LOWER,RAISE
0.0811,0.0061,9.119756294,1.724147345,10.72563241,0.86320716,20.4001,15.3001,0.83924982,RAISE,LOWER,RAISE
0.0801,0.0071,9.994094414,1.605876119,10.72563241,1.057885954,20.8001,15.6001,0.85027679,RAISE,LOWER,RAISE
0.0791,0.0081,4.262223992,0.731537998,10.72563241,1.244690583,21.2001,15.9001,0.931795351,RAISE,LOWER,RAISE
0.0781,0.0091,4.650264732,6.46340842,10.72563241,1.16527754,21.6001,16.2001,0.39738673,RAISE,LOWER,RAISE
